id,original_file,clean_filename,title,category,portfolio_role,tags,source_notes
1,AHRQ first in the world.md,world-first-ahrq-teamstepps-point-of-care-simulation-initiative.md,World-First AHRQ TeamSTEPPS Point-of-Care Simulation Initiative,"Simulation, Patient Safety, and Clinical Quality",Flagship case study,AHRQ TeamSTEPPS; surgical teamwork; mobile mock OR; structured debriefing; point-of-care simulation,
2,AI Policy.md,school-of-medicine-ai-governance-and-policy-framework.md,School of Medicine AI Governance and Policy Framework,"AI Governance, Digital Transformation, and Clinical AI Literacy",Flagship case study,AI policy; governance; data protection; responsible AI; institutional leadership,
3,AMP Project.md,admissions-management-platform-transformation-and-vendor-scoping.md,Admissions Management Platform Transformation and Vendor Scoping,"Admissions, Student Affairs, and Enterprise Systems",Flagship case study,AMP/ZAP admissions technology; 3; 000+ applicants; 200+ requirements gaps; vendor scoping; implementation risk,
4,AWARDS.md,awards-and-honors-structured-portfolio-version.md,Awards and Honors: Structured Portfolio Version,"Recognition, Publications, and Professional Service",Evidence artifact,Professional recognition; medical education scholarship; public health research; athletic achievement,
5,Awards and Honors.md,awards-and-honors-original-cv-source.md,Awards and Honors: Original CV Source,"Recognition, Publications, and Professional Service",Evidence artifact,Paper of Distinction; outstanding presentation; scholarly and athletic recognition,
6,BAC CSSP.md,centre-for-swimming-science-and-performance-collaboration.md,Centre for Swimming Science and Performance Collaboration,"Swimming Science, Sports Analytics, and International Thought Leadership",Specialized external leadership artifact,Basavanagudi Aquatic Center; India swimming science; sports physiology; international collaboration,
7,BOOKS AND BOOK CHAPTERS.md,books-and-book-chapters.md,Books and Book Chapters,"Recognition, Publications, and Professional Service",Evidence artifact,Nutritional science; community-based research; academic writing,
8,CENTERS FOR ADVANCED LEARNING AND SIMULATION.md,centers-for-advanced-learning-and-simulation-evaluation-portfolio.md,Centers for Advanced Learning and Simulation Evaluation Portfolio,"Simulation, Patient Safety, and Clinical Quality",Supporting case study,Simulation evaluation; assessment framework; longitudinal analytics; grant support,
9,COMMUNITY ADN RURAL HEALTH PROJECTS.md,community-and-rural-health-data-strategy-projects.md,Community and Rural Health Data Strategy Projects,"Community, Rural Health, Policy, and External Consultation",Supporting case study,Rural healthcare planning; HPSA/MUA validation; workforce projections; community health,
10,COVID Analysis.md,covid-19-rt-and-infection-burden-strategic-analysis.md,COVID-19 Rt and Infection Burden Strategic Analysis,Public Health Analytics and Data Visualization,Flagship case study,Rt; test positivity adjustment; O-zone plots; reopening risk; state comparisons,
11,COVID Tableau Dashboard.md,covid-19-epidemiological-tracking-tableau-dashboard.md,COVID-19 Epidemiological Tracking Tableau Dashboard,Public Health Analytics and Data Visualization,Flagship case study,Tableau dashboard; Rt estimation; public health visualization; test-adjusted infection rate,
12,CQI core.md,core-cqi-and-accreditation-leadership-statement.md,Core CQI and Accreditation Leadership Statement,"Accreditation, CQI, and Institutional Governance",Flagship positioning artifact,LCME reaccreditation; ACGME accreditation; CQI leadership; enterprise monitoring,
